id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,price_per_m2,distance_km,distance_bucket
2014-537206,2014-08-29,1,Vente,165000.0,1.0,,RUE DE LA MAILLATERIE,0052,51130.0,51158,Val-des-Marais,51,,,511580210A0922,,,,,,,,,,,,,0,1.0,Maison,102.0,4.0,J,jardins,,,265.0,3.958651,48.820869,1617.6470588235295,23.50621366181928,20-30 km
2014-537236,2014-08-29,1,Vente,210000.0,50.0,,AV DE BAMMENTAL,0010,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BO0004,,,,,,,,,,,,,0,1.0,Maison,93.0,3.0,J,jardins,POTAG,Jardin potager,1195.0,4.018326,48.90668,2258.064516129032,33.93673566520921,30-50 km
2014-537236,2014-08-29,1,Vente,210000.0,50.0,,AV DE BAMMENTAL,0010,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BO0004,,,,,,,,,,,,,0,1.0,Maison,93.0,3.0,S,sols,,,756.0,4.018326,48.90668,2258.064516129032,33.93673566520921,30-50 km
2014-537273,2014-09-20,1,Vente,50000.0,13.0,,RUE DE VERTUS,0131,51130.0,51049,Bergères-lès-Vertus,51,,,510490000D1401,,,,,,,,,,,,,0,1.0,Maison,40.0,1.0,S,sols,,,403.0,4.005549,48.881335,1250.0,31.03448750861626,30-50 km
2014-537278,2014-09-25,2,Vente,184000.0,28.0,,RUE DU 28 AOUT 1944,0050,51130.0,51655,Vouzy,51,,,51655000ZC0141,,,,,,,,,,,,,0,1.0,Maison,109.0,4.0,S,sols,,,975.0,4.104561,48.923148,1688.073394495413,38.961670647546335,30-50 km
2014-537300,2014-09-11,1,Vente,125000.0,8.0,,RUE GAMBETTA,0099,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BI0130,,,,,,,,,,,,,0,1.0,Maison,85.0,5.0,S,sols,,,182.0,4.002532,48.906211,1470.5882352941176,33.32488709956815,30-50 km
2014-537314,2014-09-12,1,Vente,70000.0,3.0,,RUE HAUTE,0056,51130.0,51435,Pocancy,51,,,514350000C0161,,,,,,,,,,,,,0,1.0,Maison,97.0,3.0,S,sols,,,415.0,4.145427,48.947313,721.6494845360825,42.915596939392714,30-50 km
2014-537366,2014-10-09,2,Vente,155000.0,35.0,,RUE DU CHAMP MEUNIER,0006,51130.0,51273,Givry-lès-Loisy,51,,,51273000ZA0212,,,,,,,,,,,,,0,1.0,Maison,127.0,7.0,,,,,,3.915087,48.894232,1220.4724409448818,29.530749502657976,20-30 km
2014-537367,2014-10-03,1,Vente,175000.0,15.0,,RUE HERBILLON,0125,51130.0,51612,Blancs-Coteaux,51,51612.0,Vertus,51612000BK0031,,,,,,,,,,,,,0,1.0,Maison,66.0,3.0,S,sols,,,118.0,4.000578,48.905138,2651.5151515151515,33.15181906428485,30-50 km
2014-537368,2014-10-03,1,Vente,126000.0,63.0,,RUE NICOLAS CLEMENGIS,0054,51130.0,51154,Clamanges,51,,,511540000D0161,,,,,,,,,,,,,0,1.0,Maison,120.0,3.0,S,sols,,,1185.0,4.069099,48.824869,1050.0,29.005568199326415,20-30 km
